Champion,G,PB%,B,GP,By,W,L,WR,K,D,A,KDA,CS,CS/M,Gold,G/M,DMG,DMG/M,KPAR,KS,GS,As
Rek'Sai,196,89.90%,54,142,14,69,73,48.60%,2.01,2.04,7.25,4.54,146.96,4.06,12.4,343,-,-,73.80%,16.00%,19.30%,
Vladimir,196,89.90%,153,43,14,23,20,53.50%,3.49,1.91,4.93,4.41,293.95,8.76,13.3,397,-,-,70.30%,29.10%,22.40%,
Karma,189,86.70%,47,142,20,69,73,48.60%,0.85,2.24,7.66,3.8,78.29,2.23,9.9,282,-,-,76.60%,7.70%,16.20%,
Sivir,149,68.30%,48,101,11,57,44,56.40%,3.26,1.64,5.89,5.57,326.95,9.31,14.8,422,-,-,73.40%,26.10%,23.60%,
Azir,143,66%,97,46,11,26,20,56.50%,3.09,2.04,4.41,3.67,316.37,9.25,14,409,-,-,66.60%,27.40%,22.90%,
Ryze,143,65.60%,116,27,12,13,14,48.10%,2.81,3.3,5.48,2.52,285.78,7.77,14,380,-,-,67.50%,22.90%,21.30%,
Braum,128,58.70%,19,109,11,49,60,45.00%,0.36,2.79,7.55,2.84,44.82,1.29,8.9,257,-,-,69.80%,3.20%,14.60%,
Trundle,126,57.80%,50,76,13,36,40,47.40%,1.72,2.45,5.41,2.91,232.59,6.61,12.5,356,-,-,65.80%,15.90%,20.20%,
Ashe,107,49.10%,23,84,11,49,35,58.30%,3.02,2.26,5.74,3.87,268.19,7.85,13.4,391,-,-,70.80%,24.40%,22.00%,
Irelia,102,46.80%,29,73,10,38,35,52.10%,3.27,3.12,3.99,2.32,246.88,7.27,12.8,378,-,-,61%,27.70%,21.30%,
Lucian,101,46.30%,11,90,12,38,52,42.20%,3.3,2.04,3.89,3.52,300.19,8.46,14,396,-,-,68.30%,31.40%,22.80%,
Nidalee,100,45.90%,57,43,8,24,19,56%,2.58,1.72,6.72,5.41,170.07,4.94,13,377,-,-,78.00%,21.60%,20.80%,
Viktor,99,45.40%,12,87,10,42,45,48.30%,4.01,2.36,4.37,3.56,331.29,9,14.8,402,-,-,71.70%,34.30%,23%,
