Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
49203374,"Prime Deceptions (Chilling Effect, #2)",Valerie Valdes,"Valdes, Valerie",,"=""0062877259""","=""9780062877253""",0,4.11,Harper Voyager,Paperback,448,2020,2020,,2022/07/05,currently-reading,currently-reading (#29),currently-reading,,,,1,0
25100,"Dream Country (The Sandman, #3)",Neil Gaiman,"Gaiman, Neil","Kelley Jones, Charles Vess, Colleen Doran, Malcolm Jones III, Steve Erickson","=""156389226X""","=""9781563892264""",0,4.24,DC Comics,Hardcover,111,1999,1990,,2023/01/20,currently-reading,currently-reading (#28),currently-reading,,,,1,0
36569910,The Book of Hidden Things,Francesco Dimitri,"Dimitri, Francesco",,"=""1785657070""","=""9781785657078""",1,3.46,Titan Books,Paperback,385,2018,2018,2023/01/20,2023/01/01,,,read,,,,1,0
1303,The 48 Laws of Power,Robert Greene,"Greene, Robert",Joost Elffers,"=""0140280197""","=""9780140280197""",2,4.15,Penguin Books,Paperback,452,2000,1998,2023/01/19,2023/01/06,,,read,,,,1,0
61273856,The Curator,Owen King,"King, Owen",,"=""1982196807""","=""9781982196806""",0,3.25,Scribner,Hardcover,480,2023,,,2023/01/19,to-read,to-read (#768),to-read,,,,0,0
65673016,The Adventures of Amina al-Sirafi (Amina al-Sirafi #1),S.A. Chakraborty,"Chakraborty, S.A.","Lameece Issaq, Amin El Gamal","=""""","=""9798212203753""",0,4.44,HarperCollins,Audio CD,,2023,2023,,2023/01/19,to-read,to-read (#767),to-read,,,,0,0
60784306,"The Lies of the Ajungo (Forever Desert, #1)",Moses Ose Utomi,"Utomi, Moses Ose",,"=""1250849063""","=""9781250849069""",0,4.36,Tordotcom,Hardcover,96,2023,2023,,2023/01/19,to-read,to-read (#766),to-read,,,,0,0
60766189,"A Day of Fallen Night (The Roots of Chaos, #0)",Samantha Shannon,"Shannon, Samantha",,"=""1635577926""","=""9781635577921""",0,4.71,Bloomsbury Publishing,Hardcover,880,2023,2023,,2023/01/19,to-read,to-read (#765),to-read,,,,0,0
60784301,"Dead Country (Craft Wars, #1)",Max Gladstone,"Gladstone, Max",,"=""0765395916""","=""9780765395917""",0,4.06,Tordotcom,Paperback,256,2023,2023,,2023/01/19,to-read,to-read (#764),to-read,,,,0,0
55711617,"My Heart Is a Chainsaw (The Lake Witch Trilogy, #1)",Stephen Graham Jones,"Jones, Stephen Graham",,"=""1982137630""","=""9781982137632""",0,3.57,Gallery / Saga Press,Hardcover,405,2021,2021,,2023/01/19,to-read,to-read (#763),to-read,,,,0,0
